ID,utterances,IOB Slot tags
1,who plays luke on star wars new hope,O O B_char O B_movie I_movie I_movie I_movie
2,show credits for the godfather,O O O B_movie I_movie
3,who was the main actor in the exorcist,O O O O O O B_movie I_movie
4,find the female actress from the movie she 's the man,O O O O O O O B_movie I_movie I_movie I_movie
5,who played dory on finding nemo,O O B_char O B_movie I_movie
6,who was the female lead in resident evil,O O O O O O B_movie I_movie
7,who played guido in life is beautiful,O O B_char O B_movie I_movie I_movie
8,who was the co-star in shoot to kill,O O O O O B_movie I_movie I_movie
10,cast and crew of movie the campaign,O O O O O B_movie I_movie
11,cast and crew of the campaign,O O O O B_movie I_movie
12,who plays in the movie the campaign,O O O O O B_movie I_movie
13,who starred in the campaign,O O O B_movie I_movie
14,who were the crew for the campaign,O O O O O B_movie I_movie
15,who was the lead man in taxi driver,O O O O O O B_movie I_movie
16,star of twilight,O O B_movie
17,who stars in vulgaria,O O O B_movie
18,what are the names of female actors who played in lost,O O O O O O O O O O B_movie
19,can i see the set list and cast for life is beautiful,O O O O O O O O O B_movie I_movie I_movie
20,cast and crew of life is beautiful,O O O O B_movie I_movie I_movie
21,show cast and crew for the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
23,who played in life is beautiful,O O O B_movie I_movie I_movie
24,who played in life is beautiful,O O O B_movie I_movie I_movie
25,who was in life is beautiful,O O O B_movie I_movie I_movie
27,i am looking for the actor that played in pretty women,O O O O O O O O O B_movie I_movie
28,star of troy,O O B_movie
29,who played robin in batman forever,O O B_char O B_movie I_movie
30,find the male actor from dirty harry,O O O O O B_movie I_movie
31,show me the actor of the ranam,O O O O O O B_movie
32,rocky actor,B_movie O
33,what actor played in the amazing spider man,O O O O B_movie I_movie I_movie I_movie
34,who are the actors in captain america,O O O O O B_movie I_movie
35,who starred in captain america,O O O B_movie I_movie
36,who was in the movie captain america,O O O O O B_movie I_movie
37,who were the cast members in the hobbist,O O B_movie O O O B_movie I_movie
38,show me the actor of the movie varsham,O O O O O O O B_movie
39,which female actors starred in hitch,O O O O O B_movie
40,can i see the cast and crew for the movie in july,O O O O O O O O O O B_movie I_movie
41,list cast and crew in july,O O O O B_movie I_movie
42,who stars in in july,O O O B_movie I_movie
43,who stars in in july,O O O B_movie I_movie
44,roll credits for top gun,O O O B_movie I_movie
45,show me the actor of the movie sirisiri muvva,O O O O O O O B_movie I_movie
46,rocky 2 actor,B_movie I_movie O
47,who is chewbakka,O O B_char
48,who stared in i love lucy,O O O B_movie I_movie I_movie
49,apollo thirteen cast members,B_movie I_movie O O
50,can you tell me more about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O O B_movie I_movie
51,cast and crew for apollo thirteen,O O O O B_movie I_movie
52,castmembers of apollo thirteen,O O B_movie I_movie
53,complete cast and crew of apollo thirteen,O O O O O B_movie I_movie
54,find for information about the cast of appolo thirteen,O O O O O O O B_movie I_movie
55,find info on the crew of apollo thirteen,O O O O O O B_movie I_movie
56,give me more facts about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O B_movie I_movie
57,i need to know in detail about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O O O B_movie I_movie
58,i want to find information about the cast of apollo thirteen,O O O O O O O O O B_movie I_movie
59,show me more information about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O B_movie I_movie
60,what actors were in dirty dancing,O O O O B_movie I_movie
61,show me the actors in captain america,O O O O O B_movie I_movie
62,show me gilda 's credits,O O B_movie O O
64,show cast list for the avergers,O O O O B_movie I_movie
65,who plays nemo in finding nemo,O O B_char O B_movie B_movie
66,find cast and crew for the movie finding nemo,O O O O O O O B_movie I_movie
67,show me the cast and crew for finding nemo,O O O O O O O B_movie I_movie
68,show me the cast of finding nemo,O O O O O B_movie I_movie
69,who are the main voices in finding nemo,O O O O O O B_movie I_movie
